id,age,gender,income,logincome,debt,love,nocheating,money,paypercent,logpaypercent
1,18,female,19252.49791,9.865396093,yesdebt,1,7,9,46,3.828641396
2,22,male,11616.7788,9.36020578,nodebt,10,10,3,56,4.025351691
3,18,female,16188.99194,9.69208678,yesdebt,10,3,5,42,3.737669618
4,26,female,18194.29047,9.808863113,yesdebt,2,1,3,82,4.406719247
5,27,female,24483.61644,10.10575946,yesdebt,5,10,9,93,4.532599493
6,21,female,22352.76266,10.0147052,nodebt,10,4,9,42,3.737669618
7,19,male,11841.84239,9.379394504,yesdebt,3,10,9,89,4.48863637
8,27,female,19873.92727,9.897163964,nodebt,4,10,7,55,4.007333185
9,18,male,27422.03459,10.21910215,nodebt,1,10,3,43,3.761200116
10,25,female,9968.041094,9.207139364,yesdebt,6,3,8,53,3.970291914
11,24,female,26353.99631,10.17937521,nodebt,10,10,10,52,3.951243719
12,21,female,4034.677255,8.302681591,nodebt,10,8,5,38,3.63758616
13,26,male,7823.751839,8.964919493,yesdebt,10,10,10,57,4.043051268
14,22,female,16096.90259,9.686382146,nodebt,10,3,2,10,2.302585093
15,21,male,1364.993918,7.218905252,yesdebt,10,5,5,77,4.343805422
16,27,female,17562.46447,9.773519203,nodebt,10,9,2,2,0.693147181
17,19,male,2048.348945,NA,yesdebt,10,5,8,89,4.48863637
18,20,male,9060.388533,9.111667283,yesdebt,10,10,4,21,3.044522438
19,26,female,7384.465874,8.907133867,yesdebt,10,10,9,41,3.713572067
20,26,female,22471.90336,10.02002107,nodebt,5,10,7,64,4.158883083
21,21,female,6204.136942,8.732971597,yesdebt,4,3,3,89,4.48863637
22,22,female,25376.88081,10.14159383,nodebt,4,10,1,59,4.077537444
23,22,male,8505.047908,9.048415138,nodebt,10,10,4,14,2.63905733
24,21,male,12294.46229,9.41690422,nodebt,6,10,8,96,4.564348191
25,19,male,8367.358866,9.032093566,nodebt,2,7,2,74,4.304065093
26,25,female,23613.21745,10.0695619,nodebt,10,10,4,13,2.564949357
27,20,female,4376.841556,8.384082637,nodebt,1,10,7,32,3.465735903
28,27,male,20919.25999,9.948425544,nodebt,10,10,5,52,3.951243719
29,18,male,22813.3852,10.03510271,nodebt,3,10,6,53,3.970291914
30,27,male,11985.47801,9.39145103,nodebt,10,3,4,50,3.912023005
31,25,male,4592.86996,8.432260371,yesdebt,9,10,10,58,4.060443011
32,23,male,20801.63476,9.942786857,yesdebt,10,10,9,53,3.970291914
33,27,female,7237.438584,8.887022636,nodebt,4,10,4,93,4.532599493
34,25,female,7900.701125,8.974706785,nodebt,10,9,10,93,4.532599493
35,21,male,9510.265782,9.160127103,yesdebt,10,10,10,99,4.59511985
36,21,male,7526.744989,8.926217955,yesdebt,10,10,10,51,3.931825633
37,23,male,28266.61863,10.24943683,nodebt,10,10,10,21,3.044522438
38,19,female,19913.05323,9.899130737,yesdebt,10,10,6,26,3.258096538
39,22,male,17709.1303,9.781835622,yesdebt,10,10,4,47,3.850147602
40,21,female,10391.92832,9.24878466,yesdebt,10,10,10,35,3.555348061
41,19,female,23405.40468,10.06072224,yesdebt,10,3,10,19,2.944438979
42,25,male,6868.422151,8.834689686,nodebt,2,10,5,32,3.465735903
43,19,male,13318.63838,9.496919715,yesdebt,5,10,8,42,3.737669618
44,20,male,23823.88482,10.07844392,nodebt,7,8,2,91,4.510859507
45,25,female,7529.947482,8.926643346,nodebt,9,3,10,81,4.394449155
46,24,female,15298.71729,9.635524267,nodebt,4,10,8,33,3.496507561
47,18,female,8847.390834,9.087877874,nodebt,10,10,2,34,3.526360525
48,22,male,11899.47016,9.384249154,yesdebt,10,10,6,19,2.944438979
49,27,male,14569.28206,9.586670623,yesdebt,7,3,8,16,2.772588722
50,19,female,13491.66019,9.50982701,yesdebt,10,10,5,9,2.197224577
51,23,female,22725.58731,10.03124676,yesdebt,8,10,2,92,4.521788577
52,23,female,20007.25278,9.903850126,nodebt,7,10,9,16,2.772588722
53,19,male,21543.14258,9.977812835,nodebt,10,7,8,6,1.791759469
54,21,female,21771.50501,9.988357284,yesdebt,3,4,8,90,4.49980967
55,20,male,25653.57859,10.15243836,yesdebt,7,10,3,96,4.564348191
56,23,female,16815.74604,9.730070991,yesdebt,3,8,3,36,3.583518938
57,22,female,20228.07856,9.914826946,yesdebt,7,10,5,91,4.510859507
58,19,female,12274.84524,9.415307345,nodebt,10,1,5,65,4.17438727
59,24,male,14072.1675,9.55195419,nodebt,2,10,10,20,2.995732274
60,23,male,19286.80383,9.867176402,nodebt,8,10,5,31,3.433987204
61,27,male,12298.5059,9.417233062,yesdebt,10,10,8,89,4.48863637
62,27,female,12004.64975,9.393049333,yesdebt,10,10,6,27,3.295836866
63,25,male,17182.26844,9.751633226,nodebt,5,8,9,80,4.382026635
64,22,female,27287.34241,10.21417823,yesdebt,2,10,5,26,3.258096538
65,18,male,3864.882509,8.259686562,nodebt,5,10,8,85,4.442651256
66,18,female,11226.91993,9.326069739,nodebt,7,5,2,82,4.406719247
67,24,female,18052.68014,9.801049437,nodebt,1,10,8,10,2.302585093
68,21,female,17554.72869,9.773078634,nodebt,10,2,1,92,4.521788577
69,27,female,3681.87054,8.211176201,nodebt,6,4,4,96,4.564348191
70,26,male,9082.28599,9.114081201,nodebt,3,10,9,13,2.564949357
71,21,female,6026.150779,8.703863741,yesdebt,4,10,8,66,4.189654742
72,26,female,14635.48322,9.591204217,yesdebt,4,10,4,7,1.945910149
73,20,male,25508.50513,10.14676721,nodebt,10,3,8,36,3.583518938
74,22,female,14987.34366,9.614961368,nodebt,2,1,9,9,2.197224577
75,25,male,13303.27013,9.495765158,nodebt,10,6,10,45,3.80666249
76,22,female,33027.80007,10.40510491,nodebt,8,10,7,25,3.218875825
77,23,female,10150.02294,9.225231245,nodebt,6,9,8,21,3.044522438
78,19,female,15910.58204,9.674739704,yesdebt,1,9,3,27,3.295836866
79,19,male,12322.07637,9.419147759,yesdebt,10,6,5,26,3.258096538
80,25,female,7741.746421,8.954382577,yesdebt,4,3,8,98,4.584967479
81,18,male,19846.86175,9.895801175,yesdebt,9,10,3,63,4.143134726
82,19,female,10817.47325,9.288917999,yesdebt,4,10,4,62,4.127134385
83,22,male,21803.51514,9.989826481,yesdebt,10,3,6,8,2.079441542
84,25,male,11735.71143,9.370391731,yesdebt,8,10,3,42,3.737669618
85,24,female,13865.53075,9.537161237,yesdebt,10,8,5,44,3.784189634
86,25,female,8488.815409,9.046504742,yesdebt,10,10,1,48,3.871201011
87,22,male,12395.67529,9.425102923,yesdebt,7,4,4,64,4.158883083
88,21,male,18025.25918,9.799529341,nodebt,1,10,3,70,4.248495242
89,26,male,1955.882896,NA,yesdebt,10,8,1,85,4.442651256
90,21,female,7005.146454,8.854400366,nodebt,4,8,1,45,3.80666249
91,24,female,17270.57939,9.756759719,nodebt,9,10,7,31,3.433987204
92,27,female,6190.448185,8.730762768,nodebt,1,10,4,30,3.401197382
93,19,male,22866.77586,10.0374403,yesdebt,10,4,3,73,4.290459441
94,22,female,6866.996756,8.834482136,nodebt,6,10,5,67,4.204692619
95,23,male,8088.740039,8.998228255,yesdebt,10,9,6,73,4.290459441
96,20,female,13184.10665,9.486767341,nodebt,7,9,3,94,4.543294782
97,23,female,12820.89552,9.458831582,nodebt,3,7,1,5,1.609437912
98,18,male,12969.67649,9.470369334,yesdebt,10,9,10,8,2.079441542
99,26,female,18326.21099,9.816087608,yesdebt,6,10,4,20,2.995732274
100,26,female,19579.53496,9.882240165,yesdebt,9,6,2,88,4.477336814
101,22,male,1454.11007,6.118339615,yesdebt,9,2,7,34,3.526360525
102,26,male,22626.69479,10.02688567,nodebt,10,10,1,65,4.17438727
103,27,female,25753.98298,10.15634457,yesdebt,10,1,6,67,4.204692619
104,25,female,8964.238278,9.100998416,yesdebt,10,6,1,47,3.850147602
105,24,male,1095.217896,NA,nodebt,7,10,10,7,1.945910149
106,23,female,1886.720031,7.542595167,yesdebt,10,7,3,44,3.784189634
107,18,male,1302.559147,NA,yesdebt,10,10,10,24,3.17805383
108,22,female,17469.76849,9.768227151,nodebt,5,10,7,57,4.043051268
109,26,male,20073.26074,9.907143897,nodebt,3,10,5,92,4.521788577
110,24,female,26791.74178,10.19584898,nodebt,10,9,5,31,3.433987204
111,27,male,17588.57676,9.775004923,nodebt,10,10,1,50,3.912023005
112,27,female,22388.081,10.016284,nodebt,10,10,1,75,4.317488114
113,27,male,10544.94049,9.263401449,yesdebt,4,8,7,19,2.944438979
114,25,male,7056.553171,8.861711992,nodebt,10,10,2,47,3.850147602
115,18,female,17138.90145,9.749106097,yesdebt,6,8,7,61,4.110873864
116,26,female,17697.62352,9.781185645,nodebt,9,3,8,2,0.693147181
117,26,male,1586.460776,NA,yesdebt,10,7,2,73,4.290459441
118,20,male,22503.49546,10.02142593,yesdebt,7,8,1,51,3.931825633
119,18,male,10095.4832,9.219843395,yesdebt,10,10,8,94,4.543294782
120,23,female,14103.25677,9.554161026,yesdebt,1,7,10,81,4.394449155
121,25,male,6888.596611,8.837622658,nodebt,10,10,6,38,3.63758616
122,22,female,20091.14197,9.908034299,nodebt,10,10,7,15,2.708050201
123,18,female,12034.21753,9.395509332,nodebt,3,10,2,41,3.713572067
124,23,female,3629.335896,8.196804962,yesdebt,5,5,2,91,4.510859507
125,18,male,17312.72184,9.759196877,yesdebt,10,5,5,13,2.564949357
126,19,male,1817.034594,7.504961107,yesdebt,2,10,10,9,2.197224577
127,19,female,13478.03822,9.508816841,yesdebt,10,7,8,83,4.418840608
128,23,female,15155.23225,9.626101114,yesdebt,1,10,10,5,1.609437912
129,23,male,36614.64848,10.50820367,yesdebt,6,10,9,3,1.098612289
130,23,male,19087.77245,9.856803223,yesdebt,2,10,6,87,4.465908119
131,23,male,4813.248456,8.47912749,yesdebt,2,10,9,34,3.526360525
132,21,male,18011.50331,9.798765905,yesdebt,4,1,6,71,4.262679877
133,19,female,14209.87208,9.561692219,nodebt,10,10,3,6,1.791759469
134,27,female,16764.35596,9.727010243,yesdebt,9,10,9,9,2.197224577
135,24,female,2072.58504,7.636551919,yesdebt,10,10,6,70,4.248495242
136,27,male,28447.22414,10.25580587,nodebt,10,8,8,80,4.382026635
137,26,female,19465.88615,9.876418784,yesdebt,10,10,1,79,4.369447852
138,18,female,11988.87329,9.391734273,nodebt,4,10,3,83,4.418840608
139,19,male,1220.528679,NA,yesdebt,5,10,7,36,3.583518938
140,25,male,18183.24248,9.808255706,nodebt,10,3,9,97,4.574710979
141,25,male,3824.821878,8.249267177,yesdebt,10,10,1,6,1.791759469
142,19,female,5541.835824,8.620081101,yesdebt,10,10,3,32,3.465735903
143,26,female,19338.59947,9.86985835,nodebt,4,2,5,45,3.80666249
144,19,female,20877.7692,9.946440197,yesdebt,10,4,9,47,3.850147602
145,19,male,11971.96643,9.390323065,yesdebt,8,10,8,57,4.043051268
146,27,female,1857.555426,7.527016615,yesdebt,1,7,1,33,3.496507561
147,26,male,3829.074416,NA,nodebt,4,9,5,84,4.430816799
148,23,female,3798.523921,8.242367829,nodebt,10,6,3,99,4.59511985
149,22,female,9425.654603,9.151190464,nodebt,10,10,5,26,3.258096538
150,27,male,7210.612187,8.883309135,nodebt,10,10,2,14,2.63905733
151,18,female,17571.01139,9.774005743,nodebt,9,10,10,48,3.871201011
152,18,female,8447.917011,9.041675182,yesdebt,10,10,6,90,4.49980967
153,22,male,18781.63672,9.840634901,nodebt,10,10,8,66,4.189654742
154,20,male,24563.33699,10.10901024,nodebt,3,10,3,39,3.663561646
155,27,male,11434.73324,9.344410778,nodebt,1,10,4,44,3.784189634
156,18,female,4174.960106,8.336860082,nodebt,10,10,2,50,3.912023005
157,22,male,5519.754604,8.616088682,nodebt,6,10,10,39,3.663561646
158,20,female,21084.85571,9.956310323,nodebt,10,9,9,34,3.526360525
159,23,male,2541.215258,7.840397694,yesdebt,6,4,3,85,4.442651256
160,27,male,27817.65631,10.23342622,yesdebt,9,10,6,21,3.044522438
161,21,female,17233.7282,9.754623685,nodebt,1,4,4,70,4.248495242
162,27,male,22665.25372,10.02858836,yesdebt,10,10,1,83,4.418840608
163,18,male,9096.840285,9.115682411,yesdebt,4,10,10,18,2.890371758
164,21,male,9871.584831,9.19741569,nodebt,1,10,6,83,4.418840608
165,21,male,18571.69478,9.829393915,nodebt,10,9,1,94,4.543294782
166,21,male,13486.30199,9.509429782,yesdebt,10,4,5,63,4.143134726
